ANKET ﾹ;SLEEP GROUP 5;SLEEP GROUP normal 5-10;SLEEP GROUP normal 6-9;SLEEP GROUP normal 7-8;SLEEP HOURS;DREAMS often;DREAMS yes/no;DREAMS;PHASE  yes/no;PHASE often;PHASE oftenN;PHASE;LD often;LD yes/no;LD;FALSE often;FALSE yes/no;FALSE ;PARALISYS often;PARALISYS yes/no;PARALISYS;OBE often;OBE yes/no;OBE;KNOW;AGE GROUP 10;AGE GROUP 5;AGE;SEX
20;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;once;no;no;no;yes;21-30;26-30;30;w
21;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;often;often;often;often;yes;often;no;yes;sometimes;no;no;no;no;no;no;no;21-30;21-25;24;m
22;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;yes;once;no;21-30;21-25;23;m
23;<5;<5;<6;<7;4;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;26-30;28;m
24;<5;<5;<6;<7;4;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;31-40;31-35;35;w
25;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often2;often;often;yes;often;no;yes;sometimes;no;no;no;often;yes;often;no;11-20;16-20;16;m
26;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;once;no;no;no;no;no;no;no;yes;once;no;no;no;yes;11-20;16-20;19;m
27;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;no;no;no;n/a;yes;yes;no;11-20;16-20;19;w
28;<5;<5;<6;<7;4;no;no;n/a;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;n/a;yes;yes;yes;21-30;26-30;30;w
29;5-6;6;6-9;<7;6;often;yes;often;yes;n/a;n/a;sometimes;n/a;yes;yes;no;yes;sometimes;no;no;no;no;no;no;no;31-40;36-40;39;w
30;5-6;6;6-9;<7;6;n/a;yes;yes;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;no;no;no;n/a;yes;yes;yes;21-30;21-25;25;m
31;7-8;7;6-9;7-8;7;n/a;yes;yes;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;no;yes;sometimes;n/a;n/a;n/a;yes;11-20;16-20;18;w
32;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;no;no;no;no;no;no;no;no;no;yes;sometimes;no;11-20;16-20;19;m
33;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;w
34;7-8;8;6-9;7-8;8;often;yes;often;yes;often;often2;often;often;yes;often;often;yes;often;no;no;no;no;no;no;yes;31-40;31-35;34;w
35;5-6;6;6-9;<7;6;no;yes;sometimes;yes;often;often;often;no;yes;sometimes;no;no;no;no;no;no;often;yes;often;no;31-40;31-35;31;m
36;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;often;often;often;often;yes;often;no;no;no;no;no;no;no;yes;sometimes;yes;>60;61-70;61;w
37;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;27;w
38;9-10;9;6-9;>8;9;n/a;yes;yes;yes;n/a;n/a;yes;no;no;no;n/a;yes;yes;no;no;no;no;no;no;yes;21-30;21-25;24;w
39;5-6;6;6-9;<7;6;no;yes;sometimes;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;no;no;no;n/a;yes;yes;yes;11-20;16-20;19;m
40;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;n/a;n/a;yes;n/a;yes;yes;no;no;no;no;no;no;no;no;no;yes;31-40;36-40;39;w
41;7-8;7;6-9;7-8;7;n/a;yes;yes;yes;often;often;often;n/a;yes;yes;often;yes;often;no;no;no;n/a;yes;yes;yes;21-30;21-25;25;m
42;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;n/a;yes;yes;no;no;no;no;11-20;10-15;12;m
43;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;n/a;n/a;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;n/a;yes;yes;yes;21-30;21-25;25;m
44;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;yes;sometimes;no;no;no;yes;41-50;46-50;49;m
45;7-8;8;6-9;7-8;8;often;yes;often;yes;n/a;n/a;sometimes;no;no;no;no;yes;sometimes;no;no;no;n/a;n/a;n/a;yes;21-30;21-25;21;m
46;5-6;6;6-9;<7;6;n/a;yes;yes;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;18;m
47;5-6;6;6-9;<7;6;often;yes;often;yes;often;often;often;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;no;yes;sometimes;yes;41-50;41-45;43;m
48;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;n/a;41-50;41-45;43;w
49;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;56-60;58;w
50;5-6;6;6-9;<7;6;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;41-50;46-50;46;m
51;7-8;7;6-9;7-8;7;no;yes;sometimes;n/a;n/a;n/a;n/a;no;no;no;n/a;n/a;n/a;no;no;no;no;no;no;yes;>60;61-70;62;w
52;5-6;5;<6;<7;5;often;yes;often;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;25;m
53;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;11-20;16-20;19;m
54;7-8;8;6-9;7-8;8;often;yes;often;yes;no;no;once;no;no;no;no;no;no;no;yes;once;no;no;no;n/a;31-40;36-40;37;w
55;5-6;6;6-9;<7;6;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;23;w
56;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;21-30;26-30;29;w
57;<5;<5;<6;<7;4;no;no;no;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;11-20;16-20;16;w
58;5-6;5;<6;<7;5;n/a;yes;yes;yes;n/a;n/a;sometimes;n/a;yes;yes;no;yes;once;no;no;no;n/a;yes;yes;yes;21-30;26-30;28;w
59;7-8;8;6-9;7-8;8;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;31-40;36-40;36;m
60;5-6;5;<6;<7;5;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;21-30;26-30;29;w
61;7-8;8;6-9;7-8;8;often;yes;often;n/a;n/a;n/a;n/a;n/a;n/a;n/a;no;no;no;no;no;no;no;no;no;n/a;>60;71-90;74;w
62;5-6;6;6-9;<7;6;no;yes;sometimes;yes;no;no;sometimes;no;yes;sometimes;no;yes;once;no;yes;once;no;no;no;yes;31-40;36-40;36;m
63;7-8;8;6-9;7-8;8;often;yes;often;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;21-30;21-25;25;m
64;7-8;7;6-9;7-8;7;no;yes;sometimes;yes;no;no;sometimes;no;no;no;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;26-30;26;m
65;9-10;9;6-9;>8;9;often;yes;often;yes;no;no;sometimes;no;yes;once;no;yes;sometimes;no;no;no;no;no;no;yes;21-30;21-25;25;w
66;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;n/a;n/a;sometimes;no;yes;once;n/a;n/a;n/a;n/a;n/a;n/a;no;yes;sometimes;yes;21-30;26-30;29;m
67;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;51-60;51-55;52;w
68;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;21-25;22;m
69;<5;<5;<6;<7;4;often;yes;often;yes;no;no;sometimes;no;yes;sometimes;no;no;no;no;no;no;no;no;no;yes;11-20;16-20;18;w
70;7-8;8;6-9;7-8;8;often;yes;often;n/a;n/a;n/a;n/a;n/a;n/a;n/a;no;no;no;no;no;no;no;no;no;no;21-30;26-30;30;m
71;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;no;no;once;no;yes;once;no;no;no;no;no;no;no;no;no;no;51-60;56-60;60;m
72;7-8;8;6-9;7-8;8;no;yes;sometimes;yes;n/a;n/a;sometimes;n/a;yes;yes;n/a;yes;yes;n/a;yes;yes;n/a;n/a;n/a;yes;31-40;31-35;32;w
73;7-8;7;6-9;7-8;7;no;yes;sometimes;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;yes;21-30;26-30;27;m
